Experiment,Input 1,Input 2,Input 3,Input 4,Input 5
1. quicksort,0.0000 (no_cache),0.0001 (no_cache),0.0013 (no_cache),0.0169 (no_cache),0.2071 (no_cache)
2. look_and_say,0.0038 (speedupy_intra_args),0.0041 (speedupy_intra_args),0.0045 (speedupy_intra_args),0.0053 (speedupy_intra_args),0.0062 (speedupy_intra_args)
3. gauss_legendre_quadrature,13.9050 (speedupy_intra_args),38.5275 (speedupy_intra_exec),81.8399 (speedupy_intra_args),149.5363 (speedupy_intra_exp),245.4311 (speedupy_intra_exec)
4. heat_distribution_lu,6.8264 (speedupy_intra_args),11.5184 (speedupy_intra_args),46.7287 (speedupy_intra_args),87.8230 (speedupy_intra_args),386.9860 (speedupy_intra_args)
5. fft,1.6129 (no_cache),1.8920 (no_cache),2.3169 (no_cache),2.8078 (no_cache),3.1558 (no_cache)
6. pernicious_numbers,0.0238 (no_cache),0.0302 (no_cache),0.0377 (no_cache),0.0441 (no_cache),0.0504 (no_cache)
7. cvar,0.7398 (no_cache),4.6324 (no_cache),9.9808 (no_cache),59.7362 (no_cache),134.1332 (no_cache)
8. belief_propagation,17.0375 (speedupy_intra_exec),92.8412 (speedupy_intra_exp),168.4102 (speedupy_intra_exp),244.0688 (speedupy_intra_exec),320.1290 (speedupy_intra_exec)
9. basic_spheres,94.2474 (no_cache),231.1756 (speedupy_intra_exp),374.2862 (no_cache),513.0309 (speedupy_intra_exp),554.2895 (speedupy_intra_exp)
10. walking_colloid,19.8165 (no_cache),48.2500 (no_cache),75.6454 (no_cache),104.1522 (no_cache),133.3548 (no_cache)
11. vince_sim,172.2866 (speedupy_intra_exec),219.6209 (speedupy_intra_args),275.9125 (speedupy_intra_exec),340.3047 (speedupy_intra_exp),405.2949 (no_cache)
12. TINY_GSHCGP,2.1838 (no_cache),4.4763 (no_cache),9.9187 (no_cache),20.9949 (no_cache),43.4641 (no_cache)
13. analyse,2.6022 (speedupy_intra_exp),3.2600 (speedupy_intra_exp),4.6960 (speedupy_intra_exp),6.1867 (speedupy_intra_exp),7.3928 (speedupy_intra_exp)
14. qho2,19.4696 (speedupy_intra_exec),24.6467 (speedupy_intra_exp),30.2617 (speedupy_intra_exp),36.7403 (speedupy_intra_exp),43.7506 (speedupy_intra_exec)
15. curves,0.0018 (no_cache),0.0058 (no_cache),0.0079 (no_cache),0.0097 (no_cache),0.0118 (no_cache)
